company,latitude,longitude,province,amphur,tumbon
PTT,13.73871146,100.4065613,กรุงเทพมหานคร,บางแค,บางไผ่
Shell,13.73303,100.4054,กรุงเทพมหานคร,บางแค,บางไผ่
PTG,13.74208,100.3643,กรุงเทพมหานคร,บางแค,บางไผ่
BCP,13.70918,100.39208,กรุงเทพมหานคร,บางแค,หลักสอง
Shell,13.70911,100.3933,กรุงเทพมหานคร,บางแค,หลักสอง
PTT,13.83094852,100.5256529,กรุงเทพมหานคร,บางซื่อ,บางซื่อ
BCP,13.80077731,100.5381417,กรุงเทพมหานคร,บางซื่อ,บางซื่อ
Shell,13.80313,100.5216,กรุงเทพมหานคร,บางซื่อ,บางซื่อ
Shell,13.81375,100.5315,กรุงเทพมหานคร,บางซื่อ,บางซื่อ
PTT,13.82570436,100.5312069,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง
PTT,13.840534,100.534336,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง
PTT,13.83516726,100.5399372,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง
Shell,13.82522,100.5324,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง
BCP,13.684337,100.616821,กรุงเทพมหานคร,บางนา,บางจาก
PTT,13.65768063,100.6429944,กรุงเทพมหานคร,บางนา,บางนาใต้
PTT,13.66225,100.620308,กรุงเทพมหานคร,บางนา,บางนาใต้
BCP,13.667067,100.592011,กรุงเทพมหานคร,บางนา,บางนาใต้
Shell,13.66278,100.6029,กรุงเทพมหานคร,บางนา,บางนาใต้
Shell,13.66068,100.6241,กรุงเทพมหานคร,บางนา,บางนาใต้
PTT,13.675666,100.595021,กรุงเทพมหานคร,บางนา,บางนาเหนือ
BCP,13.682745,100.61062,กรุงเทพมหานคร,บางนา,บางนาเหนือ
BCP,13.664878,100.651323,กรุงเทพมหานคร,บางนา,บางนาเหนือ
Shell,13.68008,100.6093,กรุงเทพมหานคร,บางนา,บางนาเหนือ
